amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-country	ship-promotion-id	promotion-ids	is-business-order	price-designation	is-replacement-order
111-0019176-6313030		2022-02-07T21:30:16+00:00	2022-02-07T22:33:53+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Wall-Mounted Infrared Forehead Thermometer with Bluetooth for iOS App Non-Contact Temperature Thermometer for Businesses, Schools, Rechargeable Batter	BT-0006	B088WKV8XC	Shipped	1	USD	83.95											true	Business Price	false
111-0049340-5582646	111-0049340-5582646	2022-02-28T21:11:51+00:00	2022-03-02T09:46:59+00:00	Shipped	Amazon	Amazon.com			Expedited	Wall-Mounted Body Thermometer with Bluetooth iOS App, Non-Contact Digital Forehead Fever Detection with Alarm for Schools, Offices, Shops (Rechargeabl	BT-0005-WHT-M	B08B6CS5G6	Shipped	1	USD	97.99	6.86										false		false
111-0140490-0116250		2022-02-23T22:28:44+00:00	2022-02-24T16:27:57+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets 44 inch Brown Wicker Outdoor Patio Gas Fire Pit Table with 50,000 BTU Heat, Aluminum Tabletop, Glass Wind Guard and Blue Heating Rocks	FP-HT-001	B09P2NFX42	Shipped	1	USD	339.95	20.74										false		false
111-0356445-8008252		2022-02-16T14:19:52+00:00	2022-02-16T16:01:19+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets 44 inch Brown Wicker Outdoor Patio Gas Fire Pit Table with 50,000 BTU Heat, Aluminum Tabletop, Glass Wind Guard and Blue Heating Rocks	FP-HT-001	B09P2NFX42	Shipped	1	USD	339.95	20.8					20.0			VPC-1-161635985 Coupon	VPC-1-161635985 Coupon	false		false
111-0684521-4581827		2022-02-16T01:32:30+00:00	2022-02-16T16:01:20+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets 44 inch Brown Wicker Outdoor Patio Gas Fire Pit Table with 50,000 BTU Heat, Aluminum Tabletop, Glass Wind Guard and Blue Heating Rocks	FP-HT-001	B09P2NFX42	Shipped	1	USD	439.99	38.32					20.0			VPC-1-160873941 Coupon	VPC-1-160873941 Coupon	false		false
111-0744846-6174628		2022-02-06T05:55:09+00:00	2022-02-07T17:26:27+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Samsung S20 Heavy Duty Case with Magnetic Metal Ring	CAS-1917-RED-M	B0859MX4QV	Shipped	1	USD	12.99	0.91										false		false
111-1355829-0711422	111-1355829-0711422	2022-02-08T20:30:06+00:00	2022-02-10T22:54:33+00:00	Shipped	Amazon	Amazon.com			Standard	Wall-Mounted Body Thermometer with Bluetooth iOS App, Non-Contact Digital Forehead Fever Detection with Alarm for Schools, Offices, Shops (Rechargeabl	BT-0005-WHT-M	B08B6CS5G6	Shipped	2	USD	195.98		2.16					2.16		US Core Free Shipping Promotion A3JU1FCINF5SD0	US Core Free Shipping Promotion A3JU1FCINF5SD0	true	Business Price	false
111-1367748-3952246	111-1367748-3952246	2022-02-02T10:38:15+00:00	2022-02-05T03:44:56+00:00	Shipped	Amazon	Amazon.com			Expedited	Wall-Mounted Body Thermometer with Bluetooth iOS App, Non-Contact Digital Forehead Fever Detection with Alarm for Schools, Offices, Shops (Rechargeabl	BT-0005-WHT-M	B08B6CS5G6	Shipped	1	USD	97.99	6.86										false		false
111-1907493-1888212		2022-02-08T01:10:43+00:00	2022-02-08T17:07:49+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Samsung S20 Heavy Duty Case with Magnetic Metal Ring	CAS-1917-RED-M	B0859MX4QV	Shipped	1	USD	12.99	1.2										false		false
111-2089949-2379411		2022-02-24T13:22:15+00:00	2022-02-25T16:05:01+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Outdoor Child Safe 10 14 FT Trampoline with Galvanized Steel Frame, Steel Ladder, and Child Safety Foam Sides Net for Trampoline Enclosure	trampoline-10-4-31	B093QVXF92	Shipped	1	USD	295.99	19.98										false		false
111-2535212-2842619		2022-02-12T18:48:18+00:00	2022-02-14T15:15:11+00:00	Cancelled	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Square Elegant Case Compatible with iPhone 11 Pro, 9H Tempered Glass, Stylish Cover, Anti-Scratch, Shock-Proof, Full Body Protection (White, iPhone 11 Pro)	CAS-2009-WHT-M	B086D5X22C		0	USD	12.99	0.81										false		false
111-2769533-7761824		2022-02-19T17:39:33+00:00	2022-02-22T00:47:00+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		FreeEconomy	Infrared Digital Non-Contact Forehead Thermometer for Adults and Kids with Fever Alarm, Memory Function, LCD Display	BT-0001-WHT	B0876Q2V6T	Shipped	1	USD	23.99	2.46										false		false
111-2893658-3038622	111-2893658-3038622	2022-02-18T16:22:09+00:00	2022-02-19T18:22:44+00:00	Shipped	Amazon	Amazon.com			Standard	Wall-Mounted Body Thermometer with Bluetooth iOS App, Non-Contact Digital Forehead Fever Detection with Alarm for Schools, Offices, Shops (Rechargeabl	BT-0005-WHT-M	B08B6CS5G6	Shipped	1	USD	97.99		7.49					7.49		US Core Free Shipping Promotion A3JU1FCINF5SD0	US Core Free Shipping Promotion A3JU1FCINF5SD0	true	Business Price	false
111-2909205-3289827		2022-02-13T03:01:06+00:00	2022-02-14T15:44:26+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Kids Desk and Chair Set for Ages 4-12, Height Adjustable Children's Study Table, Student School Desks with Lamp, Pencil Case, and Book	Desk-0001-Pink-01	B08FR994MT	Shipped	1	USD	169.99	15.3										false		false
111-3551769-7781056		2022-02-28T17:21:43+00:00	2022-02-28T18:17:30+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Outdoor Child Safe 10 14 FT Trampoline with Galvanized Steel Frame, Steel Ladder, and Child Safety Foam Sides Net for Trampoline Enclosure	trampoline-14-7-1	B096W983T2	Shipped	1	USD	349.99	24.5										false		false
111-3553183-0092232		2022-02-08T00:43:43+00:00	2022-02-08T17:07:48+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Square Elegant Case Compatible for iPhone X, Chic Tempered Glass Ceramic Case, Stylish Cover, Shockproof Protective (Pink)	CAS-2001-PNK-M	B07DK1BHBD	Shipped	1	USD	12.99	0.94										false		false
111-3646098-1489067		2022-02-09T15:48:42+00:00	2022-02-09T17:18:11+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets 44 inch Brown Wicker Outdoor Patio Gas Fire Pit Table with 50,000 BTU Heat, Aluminum Tabletop, Glass Wind Guard and Blue Heating Rocks	FP-HT-001	B09P2NFX42	Shipped	1	USD	329.95	29.7										false		false
111-3898577-5900225	111-3898577-5900225	2022-02-22T23:41:32+00:00	2022-02-23T16:00:13+00:00	Shipped	Amazon	Amazon.com			Expedited	Wall-Mounted Body Thermometer with Bluetooth iOS App, Non-Contact Digital Forehead Fever Detection with Alarm for Schools, Offices, Shops (Rechargeabl	BT-0005-WHT-M	B08B6CS5G6	Shipped	1	USD	97.99	6.17										true	Business Price	false
111-4006857-1723406		2022-02-06T01:20:26+00:00	2022-02-07T17:28:03+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Shockproof Heavy Duty Rugged 3 in 1 Protective Wallet Case Compatible with Samsung Galaxy S10 Plus, with Kick Stand, Hybrid Hard PC Co	CAS-1202-RED-M	B07SFKPBPH	Shipped	1	USD	14.99	1.3										false		false
111-4014916-3866630	111-4014916-3866630	2022-02-07T01:20:13+00:00	2022-02-08T22:18:20+00:00	Shipped	Amazon	Amazon.com			Expedited	Wall-Mounted Body Thermometer with Bluetooth iOS App, Non-Contact Digital Forehead Fever Detection with Alarm for Schools, Offices, Shops (Rechargeabl	BT-0005-WHT-M	B08B6CS5G6	Shipped	1	USD	97.99	8.08										false		false
111-4257000-2535438		2022-02-11T20:45:28+00:00	2022-02-11T21:21:07+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	iPhone 12 Pro Max Military Grade Case, with 360 Metal Rotating Ring Kickstand Holder, Built-in Car Mount Armor, and Heavy Duty Shockproof Cover	CAS-1922-BLU	B08TSS3S6X	Shipped	1	USD	12.99	1.23										false		false
111-4373527-6546664		2022-02-22T23:38:37+00:00	2022-02-23T16:56:14+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Military Grade Case Compatible with Samsung Galaxy S10 Plus Case 360 Metal Rotating Ring Kickstand Holder Built-in Magnetic Car Mount	CAS-1902-BLU-M	B07RN14ZRK	Shipped	1	USD	14.99	1.2										false		false
111-4632110-6789052		2022-02-20T14:24:04+00:00	2022-02-22T00:34:18+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets 44 inch Brown Wicker Outdoor Patio Gas Fire Pit Table with 50,000 BTU Heat, Aluminum Tabletop, Glass Wind Guard and Blue Heating Rocks	FP-HT-001	B09P2NFX42	Shipped	1	USD	339.95	23.2					20.0			VPC-1-161635985 Coupon	VPC-1-161635985 Coupon	false		false
111-4764488-2139407		2022-02-18T16:22:09+00:00	2022-02-18T17:53:19+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Tripod Stand for The Wall Mounted Body Thermometer with Adjustable Height, Aluminum Legs and Foldable Body for Schools, Businesses, Offices, Restauran	TRIPOD-03	B08HHG9THS	Shipped	1	USD	39.99											true		false
111-4889790-9507430		2022-02-08T03:19:58+00:00	2022-02-08T15:54:54+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets 44 inch Brown Wicker Outdoor Patio Gas Fire Pit Table with 50,000 BTU Heat, Aluminum Tabletop, Glass Wind Guard and Blue Heating Rocks	FP-HT-001	B09P2NFX42	Shipped	1	USD	329.95	25.18					20.0			VPC-1-160873941 Coupon	VPC-1-160873941 Coupon	false		false
111-4924742-8386649	111-4924742-8386649	2022-02-22T02:01:01+00:00	2022-02-23T18:21:10+00:00	Shipped	Amazon	Amazon.com			Expedited	Wall-Mounted Body Thermometer with Bluetooth iOS App, Non-Contact Digital Forehead Fever Detection with Alarm for Schools, Offices, Shops (Rechargeabl	BT-0005-WHT-M	B08B6CS5G6	Shipped	1	USD	97.99	7.84										false		false
111-4949994-3014616		2022-02-11T09:58:10+00:00	2022-02-11T17:21:15+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Case Compatible with Google Pixel 3a, Sparkling [Glittering] [ArmorBox] [Dual Layer] Shock Resistant Hybrid Protective Rugged Case	CAS-2100-GRN-M	B07W43SZX3	Shipped	1	USD	12.99	0.84										false		false
111-5035680-4719411	111-5035680-4719411	2022-02-28T17:18:23+00:00	2022-03-01T04:13:58+00:00	Shipped	Amazon	Amazon.com			Expedited	Wall-Mounted Body Thermometer with Bluetooth iOS App, Non-Contact Digital Forehead Fever Detection with Alarm for Schools, Offices, Shops (Rechargeabl	BT-0005-WHT-M	B08B6CS5G6	Shipped	1	USD	97.99	5.88										false		false
111-5504774-5368240		2022-02-10T23:08:31+00:00	2022-02-11T16:50:26+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Samsung Galaxy S10 Wallet Case Detachable 2 in 1 TPU Leather Case with Card Slot Cash Clip Stand Holder and Magnetic Closure Protectiv	CAS-1815-PNK-M	B07T74MC2R	Shipped	1	USD	21.99	1.9										false		false
111-5554294-6738601		2022-02-15T05:21:20+00:00	2022-02-15T15:39:15+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets 44 inch Brown Wicker Outdoor Patio Gas Fire Pit Table with 50,000 BTU Heat, Aluminum Tabletop, Glass Wind Guard and Blue Heating Rocks	FP-HT-001	B09P2NFX42	Shipped	1	USD	329.95	21.7					20.0			VPC-1-160873941 Coupon	VPC-1-160873941 Coupon	false		false
111-5577034-8922652		2022-02-09T22:01:09+00:00	2022-02-09T22:03:29+00:00	Cancelled	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Samsung S20 Heavy Duty Case with Magnetic Metal Ring	CAS-1917-SLV-M	B0859N1ZZ1		0													false		false
111-5740941-3512258		2022-02-13T18:06:19+00:00	2022-02-14T15:44:27+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets 44 inch Brown Wicker Outdoor Patio Gas Fire Pit Table with 50,000 BTU Heat, Aluminum Tabletop, Glass Wind Guard and Blue Heating Rocks	FP-HT-001	B09P2NFX42	Shipped	1	USD	329.95	30.11										false		false
111-5890437-7449032		2022-02-26T23:22:33+00:00	2022-02-28T16:20:39+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets 44 inch Brown Wicker Outdoor Patio Gas Fire Pit Table with 50,000 BTU Heat, Aluminum Tabletop, Glass Wind Guard and Blue Heating Rocks	FP-HT-001	B09P2NFX42	Shipped	1	USD	339.95	22.52										false		false
111-5916621-7897063		2022-02-01T17:45:07+00:00	2022-02-01T19:05:09+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Outdoor Child Safe 10 14 FT Trampoline with Galvanized Steel Frame, Steel Ladder, and Child Safety Foam Sides Net for Trampoline Enclosure	trampoline-10-4-31	B093QVXF92	Shipped	1	USD	295.99	20.72										false		false
111-5940005-4732210		2022-02-10T18:00:55+00:00	2022-02-10T19:55:49+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Tripod Stand for The Wall Mounted Body Thermometer with Adjustable Height, Aluminum Legs and Foldable Body for Schools, Businesses, Offices, Restauran	TRIPOD-03	B08HHG9THS	Shipped	1	USD	39.99	3.9										true		false
111-6007677-2936250		2022-02-28T14:24:17+00:00	2022-02-28T16:31:29+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		FreeEconomy	1500W Electric Infrared Radiant Patio Heater, Indoor Outdoor Heater Freestanding w/Remote Control, Fast Heating with 3 Power Mode and Quiet Radiant, T	TN-LCCB-BJA7	B09PZGVG4S	Shipped	1	USD	69.95	4.72										false		false
111-6307246-3961036		2022-02-08T15:38:13+00:00	2022-02-08T17:07:44+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Case Compatible with Google Pixel 3a, Sparkling [Glittering] [ArmorBox] [Dual Layer] Shock Resistant Hybrid Protective Rugged Case	CAS-2100-BLK-M	B07W68N2B2	Shipped	1	USD	12.99	1.13										false		false
111-6349168-5927469		2022-02-18T19:15:48+00:00	2022-02-18T20:14:32+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Tripod Stand for The Wall Mounted Body Thermometer with Adjustable Height, Aluminum Legs and Foldable Body for Schools, Businesses, Offices, Restauran	TRIPOD-03	B08HHG9THS	Shipped	1	USD	39.99	3.2										false		false
111-6483948-4381869		2022-02-05T13:45:37+00:00	2022-02-07T17:26:26+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Infrared Digital Non-Contact Forehead Thermometer for Adults and Kids with Fever Alarm, Memory Function, LCD Display	BT-0001-WHT	B0876Q2V6T	Shipped	1	USD	23.99		4.99									false		false
111-6693411-5777006		2022-02-05T23:09:45+00:00	2022-02-07T17:37:23+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Samsung S20 Heavy Duty Case with Magnetic Metal Ring	CAS-1917-RED-M	B0859MX4QV	Shipped	1	USD	12.99	1.08										false		false
111-6863972-9160208		2022-02-11T01:07:26+00:00	2022-02-11T15:23:30+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Outdoor Patio Propane Space Heater - 48,000 Btu Pyramid Propane Heater, Outdoor Heater, Portable Heater, Patio Heater Propane, W/ Wheels, Fire Pit Met	S-S-Patio-heater-Propane-1	B09DYZTSHF	Shipped	1	USD	429.99	35.47										false		false
111-6880552-1290665		2022-02-14T06:05:58+00:00	2022-02-14T15:44:30+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Kids Desk and Chair Set, Height Adjustable Children's Study Table, for Baby Bedroom,Game Rooms,Party,Home Theatre,Night Light (Blue)	K-DESK-BLU-3	B08QWBJ65L	Shipped	1	USD	139.99	11.72										false		false
111-6884981-4629023		2022-02-03T23:29:41+00:00	2022-02-04T17:32:11+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Tripod Stand for The Wall Mounted Body Thermometer with Adjustable Height, Aluminum Legs and Foldable Body for Schools, Businesses, Offices, Restauran	TRIPOD-03	B08HHG9THS	Shipped	1	USD	39.99	3.3										false		false
111-7066452-9100210		2022-02-18T03:55:52+00:00	2022-02-18T16:09:38+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Kids Desk and Chair Set for Ages 4-12, Height Adjustable Children's Study Table, Student School Desks with Lamp, Pencil Case, and Book	K-DESK-PNK-2	B08FR994MT	Shipped	1	USD	169.99	15.3										false		false
111-7354347-3106642		2022-02-28T16:22:37+00:00	2022-02-28T18:17:30+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets 44 inch Brown Wicker Outdoor Patio Gas Fire Pit Table with 50,000 BTU Heat, Aluminum Tabletop, Glass Wind Guard and Blue Heating Rocks	FP-HT-001	B09P2NFX42	Shipped	1	USD	339.95	22.4					20.0			VPC-1-161635985 Coupon	VPC-1-161635985 Coupon	false		false
111-7361207-9060250		2022-02-09T22:39:55+00:00	2022-02-10T17:24:40+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	iPhone 12 Pro Max Military Grade Case, with 360 Metal Rotating Ring Kickstand Holder, Built-in Car Mount Armor, and Heavy Duty Shockproof Cover	CAS-1922-BLK	B08TSPSQRC	Shipped	1	USD	12.99	1.19										false		false
111-7405697-2622653	111-7405697-2622653	2022-02-15T20:02:54+00:00	2022-02-16T03:54:45+00:00	Shipped	Amazon	Amazon.com			Expedited	Wall-Mounted Body Thermometer with Bluetooth iOS App, Non-Contact Digital Forehead Fever Detection with Alarm for Schools, Offices, Shops (Rechargeabl	BT-0005-WHT-M	B08B6CS5G6	Shipped	1	USD	97.99	9.02										false		false
111-7434562-1279449		2022-02-15T02:48:25+00:00	2022-02-15T15:37:17+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets 44 inch Brown Wicker Outdoor Patio Gas Fire Pit Table with 50,000 BTU Heat, Aluminum Tabletop, Glass Wind Guard and Blue Heating Rocks	FP-HT-001	B09P2NFX42	Shipped	1	USD	329.95	20.53					20.0			VPC-1-160873941 Coupon	VPC-1-160873941 Coupon	false		false
111-7663662-9809063		2022-02-07T10:15:31+00:00	2022-02-07T17:37:04+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Military Grade Case Compatible with Samsung Galaxy S10 Case 360 Metal Rotating Ring Kickstand Holder Built-in Magnetic Car Mount Armor	CAS-1901-BLK-M	B07RN1DZ24	Shipped	1	USD	14.99	1.38										false		false
111-7736206-4422640		2022-02-28T21:11:51+00:00	2022-03-02T16:45:11+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Tripod Stand for The Wall Mounted Body Thermometer with Adjustable Height, Aluminum Legs and Foldable Body for Schools, Businesses, Offices, Restauran	TRIPOD-03	B08HHG9THS	Shipped	1	USD	39.99	2.8										false		false
111-7757608-4853856	111-7757608-4853856	2022-02-17T02:26:04+00:00	2022-02-17T17:18:45+00:00	Shipped	Amazon	Amazon.com			Expedited	iPad Mini 5 Case, iPad Mini 5th Generation Case, Hybrid Three Layer Armor Shockproof Rugged Drop Protection Cover Case Built with Kickstand for iPad M	CAS-1105-BLU	B07S2ZW547	Shipped	1	USD	11.99	0.99										false		false
111-7758375-5105853		2022-02-04T16:56:52+00:00	2022-02-05T23:23:30+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Dumbbell Stand Adjustable Metal Dumbbell Rack with Straps and Wheels, Dumbbell Holder Storage for Home Fitness Gym	Stand-D-002	B08SSPQY7G	Shipped	1	USD	195.99	10.78										false		false
