amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-country	ship-promotion-id	promotion-ids	is-business-order	price-designation	is-replacement-order
111-0084523-7021061		2022-03-16T14:52:14+00:00	2022-03-16T15:38:19+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Outdoor Child Safe 10 14 FT Trampoline with Galvanized Steel Frame, Steel Ladder, and Child Safety Foam Sides Net for Trampoline Enclosure	trampoline-14-7-1	B096W983T2	Shipped	1	USD	349.99	27.56										false		false
111-0225479-0920277		2022-03-03T20:04:29+00:00	2022-03-03T21:41:48+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets 44 inch Brown Wicker Outdoor Patio Gas Fire Pit Table with 50,000 BTU Heat, Aluminum Tabletop, Glass Wind Guard and Blue Heating Rocks	FP-HT-001	B09P2NFX42	Shipped	1	USD	339.95	20.0					20.0			VPC-1-161635985 Coupon	VPC-1-161635985 Coupon	false		false
111-0259058-4952267		2022-03-12T07:39:23+00:00	2022-03-14T15:18:24+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Table Top Fire Pit 44 inch Brown Wicker Outdoor Patio Gas Fire Pit Table with 50,000 BTU Heat, Aluminum Tabletop, Glass Wind Guard and	FP-HT-001	B09P2NFX42	Shipped	1	USD	339.95	22.4					20.0			VPC-1-161635985 Coupon	VPC-1-161635985 Coupon	false		false
111-0277075-7778624		2022-03-06T20:07:43+00:00	2022-03-07T17:35:56+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Outdoor Child Safe 10 14 FT Trampoline with Galvanized Steel Frame, Steel Ladder, and Child Safety Foam Sides Net for Trampoline Enclosure	trampoline-14-7-1	B096W983T2	Shipped	1	USD	349.99	22.75										false		false
111-0354058-1062674		2022-03-12T03:44:47+00:00	2022-03-14T15:18:22+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Table Top Fire Pit 44 inch Brown Wicker Outdoor Patio Gas Fire Pit Table with 50,000 BTU Heat, Aluminum Tabletop, Glass Wind Guard and	FP-HT-001	B09P2NFX42	Shipped	1	USD	339.95	32.0					20.0			VPC-1-161635985 Coupon	VPC-1-161635985 Coupon	false		false
111-0577276-4619417		2022-03-05T03:13:46+00:00	2022-03-05T03:17:34+00:00	Cancelled	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Outdoor Child Safe 10 14 FT Trampoline with Galvanized Steel Frame, Steel Ladder, and Child Safety Foam Sides Net for Trampoline Enclosure	trampoline-14-7-1	B096W983T2		0													false		false
111-0721399-4647417		2022-03-05T05:05:30+00:00	2022-03-07T17:24:38+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Samsung Galaxy S10 Case, Marble Pattern Design Three Layers Heavy Duty Shockproof with Hard PC and TPU Bumper Protective Phone Case Co	CAS-1301-WHT-M	B07QWVJLX2	Shipped	1	USD	14.99	0.94										false		false
111-1457356-1712241		2022-03-11T16:19:31+00:00	2022-03-11T17:13:17+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Kids Desk and Chair Set for Ages 4-12, Height Adjustable Children's Study Table, Student School Desks with Lamp, Pencil Case, and Book	K-DESK-BLU-2	B08QTWVHPY	Shipped	1	USD	139.99	9.8										false		false
111-1491430-1949840		2022-03-20T23:16:34+00:00	2022-03-21T14:57:22+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Outdoor Child Safe 10 14 FT Trampoline with Galvanized Steel Frame, Steel Ladder, and Child Safety Foam Sides Net for Trampoline Enclosure	trampoline-14-7-1	B096W983T2	Shipped	1	USD	349.99	21.0										false		false
111-1530187-0367429		2022-03-11T19:10:12+00:00	2022-03-11T20:10:45+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Home Office Portable Fitness Walking Jogging Treadmill with Remote Control, LED Display & Bluetooth Speaker	Treadmill-Without-0011-1	B08Y5XRZF9	Shipped	1	USD	339.99	23.8										false		false
111-2030577-6811412		2022-03-18T10:21:20+00:00	2022-03-18T15:31:45+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Outdoor Child Safe 10 14 FT Trampoline with Galvanized Steel Frame, Steel Ladder, and Child Safety Foam Sides Net for Trampoline Enclosure	trampoline-14-7-1	B096W983T2	Shipped	1	USD	349.99	24.5										false		false
111-2622091-5749844		2022-03-04T23:56:19+00:00	2022-03-07T17:35:52+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Case Compatible with Google Pixel 3a, Sparkling [Glittering] [ArmorBox] [Dual Layer] Shock Resistant Hybrid Protective Rugged Case	CAS-2100-SLV-M	B07W1L27QP	Shipped	1	USD	12.99	0.78										false		false
111-2893625-4787424		2022-03-02T06:24:21+00:00	2022-03-02T16:24:22+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets 44 inch Brown Wicker Outdoor Patio Gas Fire Pit Table with 50,000 BTU Heat, Aluminum Tabletop, Glass Wind Guard and Blue Heating Rocks	FP-HT-001	B09P2NFX42	Shipped	1	USD	339.95	32.79					20.0			VPC-1-161635985 Coupon	VPC-1-161635985 Coupon	false		false
111-3306879-2469865		2022-03-11T15:16:14+00:00	2022-03-11T16:56:22+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Kids Desk and Chair Set for Ages 4-12, Height Adjustable Children's Study Table, Student School Desks with Lamp, Pencil Case, and Book	Desk-0001-Pink-01	B08FR994MT	Shipped	1	USD	169.99	14.02										false		false
111-3628946-1157810	111-3628946-1157810	2022-03-19T00:38:57+00:00	2022-03-21T16:19:11+00:00	Shipped	Amazon	Amazon.com			Expedited	Wall-Mounted Body Thermometer with Bluetooth iOS App, Non-Contact Digital Forehead Fever Detection with Alarm for Schools, Offices, Shops (Rechargeabl	BT-0005-WHT-M	B08B6CS5G6	Shipped	1	USD	97.99	6.61										false		false
111-3647292-9041015		2022-03-19T22:02:48+00:00	2022-03-21T15:59:37+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Case Compatible with Google Pixel 3a XL, Sparkling [Glittering] [ArmorBox] [Dual Layer] Shock Resistant Hybrid Protective Rugged Case	CAS-2101-SLV-M	B07W1L1JHJ	Shipped	1	USD	12.99	0.71										false		false
111-3749323-8689003		2022-03-17T19:51:37+00:00	2022-03-17T23:04:27+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Kids Desk and Chair Set for Ages 4-12, Height Adjustable Children's Study Table, Student School Desks with Lamp, Pencil Case, and Book	K-DESK-BLU-2	B08QTWVHPY	Shipped	1	USD	139.99	8.4										false		false
111-3872866-9439461		2022-03-14T00:22:36+00:00	2022-03-14T15:18:29+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Table Top Fire Pit 44 inch Brown Wicker Outdoor Patio Gas Fire Pit Table with 50,000 BTU Heat, Aluminum Tabletop, Glass Wind Guard and	FP-HT-001	B09P2NFX42	Shipped	1	USD	359.95	27.9										false		false
