amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-country	ship-promotion-id	promotion-ids	is-business-order	price-designation	is-replacement-order
111-0017325-3879454		2022-11-15T01:02:49+00:00	2022-11-15T15:30:20+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Patio Heater - 1500w Outdoor and Indoor Infrared Heater with Instant Heating and Adjustable Height. Portable for Living Rooms, Offices, Garages and Restaurants (EPH-BLK)	EPH-BLK-FBM-A3	B08SY7J1FL	Shipped	1	USD	189.99	13.6					20.0			VPC-1-183159448 Coupon	VPC-1-183159448 Coupon	false		false
111-0018618-0710663		2022-11-24T05:57:57+00:00	2022-11-25T16:49:42+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	1500W Electric Infrared Patio Heater w/ Remote Control, Fast Heating w/ 3 Power Mode & Quiet Radiant, Tip-Over Protection, Waterproof, Infrared Space Heater for Living Room, Backyard, Garage (EDH-BLM)	EDH-BLM-FBM-A1	B09PZGVG4S	Shipped	1	USD	74.99	3.85					5.0			VPC-1-183469008 Coupon	VPC-1-183469008 Coupon	false		false
111-0074378-1070607	111-0074378-1070607	2022-11-26T01:34:25+00:00	2022-11-27T17:17:59+00:00	Shipped	Amazon	Amazon.com			Expedited	Electric Patio Heater 1500W for Outdoor Heating with Adjustable Height, Quiet Operation, Free Standing and Waterproof Space Warmer (EPH-SIL)	EPH-SIL-FBA-A1	B08R9NC84P	Shipped	1	USD	229.99	10.92										false		false
111-0167598-5929026		2022-11-12T00:42:06+00:00	2022-11-14T17:29:13+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Color Reflective Mirror Phone Case (iPhone 13, Black)	CAS-I13MIR-BLK	B09QRTDFNN	Shipped	1	USD	14.99	1.39										false		false
111-0191676-8220258		2022-11-16T11:17:07+00:00	2022-11-16T15:44:53+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		SecondDay	Gorilla Gadgets Large Reading Bed Rest Pillow - Triangular Headboard Wedge Pillow, Backrest Positioning Support, Extra Filling w/ Machine Washable Velvet Cover (Queen Size: 59 x 8 x 20 inches, Green)	HBPL-QUEEN-GREEN	B0B46YCJSK	Shipped	1	USD	99.5	6.65					15.0			VPC-1-177139168 Coupon	VPC-1-177139168 Coupon	false		false
111-0276438-6282669		2022-11-11T09:47:46+00:00	2022-11-11T16:47:12+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	1500W Electric Infrared Patio Heater w/ Remote Control, Fast Heating w/ 3 Power Mode & Quiet Radiant, Tip-Over Protection, Waterproof, Infrared Space Heater for Living Room, Backyard, Garage (EDH-BLM)	EDH-BLM-FBM-A1	B09PZGVG4S	Shipped	1	USD	74.99	5.44										false		false
111-0333958-2002647		2022-11-08T18:12:55+00:00	2022-11-08T19:33:20+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Color Reflective Mirror Phone Case (iPhone 13 Pro, Black)	CAS-I13PMIR-BLK	B09QRYHW99	Shipped	1	USD	14.99	1.05										false		false
111-0381155-5438631		2022-11-06T04:25:49+00:00	2022-11-07T20:40:54+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		SecondDay	Patio Heater, Electric Patio Heater, 1500W Infrared Heater, Outdoor Heater, Infrared Patio Heater, Waterproof & Tip-Over Protection, for Indoor/Outdoor, Garden, Balcony, Garage and Backyard (EPH-BLK)	EPH-BLK-FBM-A2	B08SXX1T2D	Shipped	1	USD	169.99	14.87										false		false
111-0438409-4242648		2022-11-02T00:46:33+00:00	2022-11-02T14:43:52+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Electric Patio Heater 1500W for Outdoor Heating with Adjustable Height, Quiet Operation, Free Standing and Waterproof Space Warmer (EPH-SIL)	EPH-SIL-FBM-A1	B08R9NC84P	Shipped	1	USD	189.99	15.29										false		false
111-0570838-0790612		2022-11-29T19:33:22+00:00	2022-11-29T21:18:03+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Large Reading Bed Rest Pillow - Triangular Headboard Wedge Pillow, Backrest Positioning Support, Extra Filling with Washable Velvet Cover (King Size: 76 x 8 x 20 inches, Gray)	HBPL-KING-DARKGRAY	B0B47LY8J2	Shipped	1	USD	119.5	9.14					15.0			VPC-1-177139168 Coupon	VPC-1-177139168 Coupon	false		false
111-0613069-9113809		2022-11-11T18:24:02+00:00	2022-11-14T16:05:30+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorillagadgets Large Reading Bed Rest Pillow - Triangular Headboard Wedge Pillow, Backrest Positioning Support, Extra Filling with Washable Velvet Cover (Queen Size: 59 x 8 x 20 inches, Gray)	HBPL-QUEEN-DARKGRAY	B0B4781JWL	Shipped	1	USD	99.5	8.21										false		false
111-0613192-2553831		2022-11-18T21:45:46+00:00	2022-11-21T15:48:43+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Large Reading Bed Rest Pillow - Triangular Headboard Wedge Pillow, Backrest Positioning Support, Extra Filling with Washable Velvet Cover (Queen Size: 59 x 8 x 20 inches, Gray)	HBPL-QUEEN-DARKGRAY	B0B4781JWL	Shipped	1	USD	99.5	8.24					15.0			VPC-1-177139168 Coupon	VPC-1-177139168 Coupon	false		false
111-0691670-8919425		2022-11-15T15:26:16+00:00	2022-11-15T17:42:35+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Patio Heater - Propane Outdoor Heater 48000BTU, Outdoor Patio Heater with Overheat Protection, with Wheels for Restaurants, Garden and Commercial Use (PPH-BRN)	PPH-BRN-FBM-A2	B08QNK2DQY	Shipped	1	USD	433.0											false		false
111-0720323-5622643		2022-11-14T16:49:13+00:00	2022-11-14T17:58:19+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		SecondDay	1500W Electric Infrared Patio Heater w/ Remote Control, Fast Heating w/ 3 Power Mode & Quiet Radiant, Tip-Over Protection, Waterproof, Infrared Space Heater for Living Room, Backyard, Garage (EDH-BLM)	EDH-BLM-FBM-A1	B09PZGVG4S	Shipped	1	USD	74.99	5.63					5.0			VPC-1-183469008 Coupon	VPC-1-183469008 Coupon	false		false
111-0758123-9518651		2022-11-21T20:21:39+00:00	2022-11-21T21:15:34+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		SecondDay	Gorilla Gadgets Large Bed Rest Reading Pillow - Triangular Headboard Wedge Pillow, Backrest Positioning Support, Extra Filling with Washable Velvet Cover (Twin Size: 39 x 8 x 20 inches, Burgundy)	HBPL-TWIN-BURGUNY	B0B47CC7YQ	Shipped	1	USD	79.5	6.6										false		false
111-0758969-5482662		2022-11-27T15:59:13+00:00	2022-11-28T16:47:00+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Perfect for Small Rooms! - Energy and Cost-Efficient 1500W Portable Electric Oscillating Heater with Remote, Tip-Over Protection, and Overheating Sensor. (EDH-BLM)	EDH-BLM-FBM-C1	B0BJHLSDQL	Shipped	1	USD	74.99	4.5										false		false
