amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-country	ship-promotion-id	promotion-ids	is-business-order	price-designation	is-replacement-order
111-0036338-6282663		2022-09-19T04:57:33+00:00	2022-09-19T16:39:58+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		NextDay	Evaporative Swamp Cooler with Water Tank and Remote Control. Powerful Personal Fan. Ice packs included! (Circular 80W)	AC-CIR-01	B0B6YQVJR3	Shipped	1	USD	119.99	8.4					24.0			VPC-1-177221253 Coupon	VPC-1-177221253 Coupon	false		false
111-0267256-4621871		2022-09-06T18:49:12+00:00	2022-09-06T20:40:56+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorillagadgets Large Reading Bed Rest Pillow - Triangular Headboard Wedge Pillow, Backrest Positioning Support, Extra Filling with Machine Washable Ve	HBPL-QUEEN-GREEN	B0B46YCJSK	Shipped	1	USD	116.95	9.5										false		false
111-0290561-3337873	111-0290561-3337873	2022-09-26T17:14:57+00:00	2022-09-28T14:57:54+00:00	Shipped	Amazon	Amazon.com			Expedited	Premium Glass Table Top Fire Pit 43 inch Brown Wicker Outdoor Patio Gas Fire Pit Table with 50,000 BTU Heat, Aluminum Frame, Glass Wind Guard and Blue	FP-HT-001-FBA	B09P2NFX42	Shipped	1	USD	419.99	24.94					21.0			VPC-1-175601385 Coupon	VPC-1-175601385 Coupon	false		false
111-0437393-3305066	111-0437393-3305066	2022-09-25T22:50:20+00:00	2022-09-26T22:30:51+00:00	Shipped	Amazon	Amazon.com			SecondDay	Premium Glass Table Top Fire Pit 43 inch Brown Wicker Outdoor Patio Gas Fire Pit Table with 50,000 BTU Heat, Aluminum Frame, Glass Wind Guard and Blue	FP-HT-001-FBA	B09P2NFX42	Shipped	1	USD	419.99	40.3					21.0			VPC-1-175601385 Coupon	VPC-1-175601385 Coupon	false		false
111-0735523-1030648		2022-09-06T01:00:34+00:00	2022-09-06T16:11:34+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Instant Read Thermometer - Wall Mount or use with Tripod Stand. No Contact Digital Forehead with Fever Detection. Designed for Schools, Healthcare, an	BT-TRIPOD-01	B08HJVD2N8	Shipped	1	USD	139.99											true		false
111-0861863-0648258		2022-09-07T14:16:55+00:00	2022-09-14T15:53:51+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Tripod Stand for The Wall Mounted Body Thermometer with Adjustable Height, Aluminum Legs and Foldable Body for Schools, Businesses, Offices, Restauran	TRIPOD-03	B08HHG9THS	Shipped	1	USD	39.99											true		false
111-1126395-9493025		2022-09-05T20:31:44+00:00	2022-09-06T15:42:09+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	AMERICAN SELLER - Industrial Strength Fan Cooler for Commercial, Office, Home - Portable Evaporative Air Cooler, Large Quiet 5,300 CFM. 13.2 Gallon Wa	WG - Big Cooler - #2	B09YBXSJ8T	Shipped	1	USD	699.98	63.17					35.0			VPC-1-174490162 Coupon	VPC-1-174490162 Coupon	false		false
111-1174158-9435445		2022-09-25T15:43:57+00:00	2022-09-26T15:20:07+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorillagadgets Large Reading Bed Rest Pillow - Triangular Headboard Wedge Pillow, Backrest Positioning Support, Extra Filling with Washable Velvet Cover (Queen Size: 59 x 8 x 20 inches, Burgundy)	HBPL-QUEEN-BURGUNY	B0B46WVLFN	Shipped	1	USD	116.95	8.77					15.0			VPC-1-177139168 Coupon	VPC-1-177139168 Coupon	false		false
111-1250309-7214656		2022-09-17T05:33:15+00:00	2022-09-19T16:55:23+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Military Grade Case Compatible with Google Pixel 3a Case 360 Metal Rotating Ring Kickstand Holder Built-in Magnetic Car Mount Armor He	CAS-1908-BLK-M	B07V715QQ5	Shipped	1	USD	12.99	1.14										false		false
111-1250309-7214656		2022-09-17T05:33:15+00:00	2022-09-19T16:55:23+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Military Grade Case Compatible with Google Pixel 4 XL Case 360 Metal Rotating Ring Kickstand Holder Built-in Magnetic Car Mount Armor	CAS-1912-SLV-M	B07WDLXRR6	Shipped	1	USD	12.99	1.14										false		false
111-1569430-2600200		2022-09-01T18:55:13+00:00	2022-09-02T15:27:45+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	USA SELLER - Outdoor AC - Evaporative Air Cooler, Portable Air Conditioner, Filter with Touch Controls, Large Quiet Electric 5300 Cubic Feet per Minut	MB-8K9C-EAXK	B09B7XY64B	Shipped	1	USD	638.98	51.12										false		false
