amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-country	ship-promotion-id	promotion-ids	is-business-order	price-designation	is-replacement-order
111-0131443-9938617		2022-10-20T09:49:40+00:00	2022-10-20T15:53:02+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Military Grade Case Compatible with Samsung Galaxy S10 Plus Case 360 Metal Rotating Ring Kickstand Holder Built-in Magnetic Car Mount	CAS-1902-BLU-M	B07RN14ZRK	Shipped	1	USD	14.99	1.33										false		false
111-0148224-4452224		2022-10-26T18:49:28+00:00	2022-10-26T21:04:16+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Military Grade Case Compatible with Samsung Galaxy S10 Case 360 Metal Rotating Ring Kickstand Holder Built-in Magnetic Car Mount Armor	CAS-1901-BLU-M	B07RMZQZD3	Shipped	1	USD	14.99	1.33										false		false
111-0153742-8269070		2022-10-04T01:41:24+00:00	2022-10-04T15:32:18+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorillagadgets Large Reading and Bed Rest Pillow - Triangular Headboard Wedge Pillow, Backrest Positioning Support, Extra Filling with Machine Washable Cover (King Size: 76 x 8 x 20 inches, Pink)	HBPL-KING-PINK	B0B7GLL9P1	Shipped	1	USD	130.45	8.64										false		false
111-0181658-9825019		2022-10-11T19:15:46+00:00	2022-10-12T21:38:36+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		NextDay	Gorillagadgets Large Reading Bed Rest Pillow - Triangular Headboard Wedge Pillow, Backrest Positioning Support, Extra Filling with Machine Washable Cover (Full Size: 47 x 8 x 20 inches, Dark Gray)	HBPL-FULL-DARKGRAY	B0B46XLMRJ	Shipped	1	USD	94.45	8.14					15.0			VPC-1-177139168 Coupon	VPC-1-177139168 Coupon	false		false
111-0236906-3325032		2022-10-18T13:52:25+00:00	2022-10-19T16:43:53+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Military Grade Case Compatible with Samsung Galaxy S10 Case 360 Metal Rotating Ring Kickstand Holder Built-in Magnetic Car Mount Armor	CAS-1901-BLU-M	B07RMZQZD3	Shipped	1	USD	14.99	1.24										false		false
111-0402764-9765060		2022-10-26T18:49:57+00:00	2022-10-26T18:50:38+00:00	Cancelled	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Military Grade Case Compatible with Samsung Galaxy S10 Case 360 Metal Rotating Ring Kickstand Holder Built-in Magnetic Car Mount Armor Heavy Duty Shockproof Cover	CAS-1901-BLU-M	B07RMZQZD3		0													false		false
111-0608693-9649841		2022-10-05T19:22:14+00:00	2022-10-05T21:03:43+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorillagadgets Large Reading Bed Rest Pillow - Triangular Headboard Wedge Pillow, Backrest Positioning Support, Extra Filling with Machine Washable Cover (Full Size: 47 x 8 x 20 inches, Dark Gray)	HBPL-FULL-DARKGRAY	B0B46XLMRJ	Shipped	1	USD	94.45	7.05					15.0			VPC-1-177139168 Coupon	VPC-1-177139168 Coupon	false		false
111-0610712-2752267		2022-10-20T00:32:21+00:00	2022-10-20T16:02:14+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	1500W Electric Infrared Patio Heater w/ Remote Control, Fast Heating with 3 Power Mode and Quiet Radiant, Tip-Over Protection, Waterproof, Infrared Space Heater for Living Room, Backyard, Garage	EDH-BLM-FBM-A1	B09PZGVG4S	Shipped	1	USD	69.99	4.2										false		false
111-0625069-4253047		2022-10-04T23:16:48+00:00	2022-10-05T16:21:12+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorillagadgets Large Reading Bed Rest Pillow - Triangular Headboard Wedge Pillow, Backrest Positioning Support, Extra Filling with Washable Velvet Cover (Queen Size: 59 x 8 x 20 inches, Burgundy)	HBPL-QUEEN-BURGUNY	B0B46WVLFN	Shipped	1	USD	107.95	8.42										false		false
111-0664512-7662628		2022-10-31T08:02:10+00:00	2022-10-31T17:31:01+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Color Reflective Mirror Phone Case (iPhone 13 Pro, Black)	CAS-I13PMIR-BLK	B09QRYHW99	Shipped	1	USD	14.99	1.05										false		false
111-0804608-5152259		2022-10-13T06:24:01+00:00	2022-10-13T15:49:08+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		SecondDay	Gorilla Gadgets Kids Desk and Chair Set, Height Adjustable Children's Study Table, for Baby Bedroom,Game Rooms,Party,Home Theatre,Night Light (Blue)	DSK-KIDS-BLU-FBM-A1	B08QWBJ65L	Shipped	1	USD	100.09	6.4					30.0			VPC-1-179395599 Coupon	VPC-1-179395599 Coupon	false		false
111-1181048-6951447		2022-10-21T13:22:16+00:00	2022-10-24T19:20:29+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorillagadgets Large Reading Bed Rest Pillow - Triangular Headboard Wedge Pillow, Backrest Positioning Support, Extra Filling with Washable Velvet Cover (Full Size: 47 x 8 x 20 inches, Light Gray)	HBPL-FULL-LIGHTGRAY	B0B477ZQC2	Shipped	1	USD	89.5	5.37										false		false
111-1288323-5713821		2022-10-26T16:06:04+00:00	2022-10-28T12:21:10+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Kids Desk and Chair Set, Height Adjustable Children's Study Table, for Baby Bedroom,Game Rooms,Party,Home Theatre,Night Light (Blue)	DSK-KIDS-BLU-FBM-A1	B08QWBJ65L	Shipped	1	USD	129.99	6.25					30.0			VPC-1-179395599 Coupon	VPC-1-179395599 Coupon	false		false
111-1532274-9380213		2022-10-08T16:37:23+00:00	2022-10-10T16:21:49+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Color Reflective Mirror Phone Case (iPhone 11, Silver)	CAS-I11MIR-SIL	B09QS5P4D2	Shipped	1	USD	14.99	1.61										false		false
111-1726716-2837069		2022-10-14T14:57:30+00:00	2022-10-18T00:39:40+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		NextDay	Gorillagadgets Large Reading Bed Rest Pillow - Triangular Headboard Wedge Pillow, Backrest Positioning Support, Extra Filling with Washable Velvet Cover (Queen Size: 59 x 8 x 20 inches, Light Gray)	HBPL-QUEEN-LIGHTGRAY	B0B46VG24T	Shipped	1	USD	107.95	11.06										false		false
111-1748369-5989804		2022-10-01T18:23:48+00:00	2022-10-03T19:31:30+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		SecondDay	Gorillagadgets Large Reading Bed Rest Pillow - Triangular Headboard Wedge Pillow, Backrest Positioning Support, Extra Filling with Washable Velvet Cover (Full Size: 47 x 8 x 20 inches, Light Gray)	HBPL-FULL-LIGHTGRAY	B0B477ZQC2	Shipped	1	USD	94.45	6.88					6.3			VPC-1-177139168 Coupon	VPC-1-177139168 Coupon	false		false
111-1748369-5989804		2022-10-01T18:23:48+00:00	2022-10-03T19:31:30+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		SecondDay	Gorillagadgets Large Reading Bed Rest Pillow - Triangular Headboard Wedge Pillow, Backrest Positioning Support, Extra Filling with Washable Velvet Cover (King Size: 76 x 8 x 20 inches, Light Gray)	HBPL-KING-LIGHTGRAY	B0B46VNQCR	Shipped	1	USD	130.45	9.5					8.7			VPC-1-177139168 Coupon	VPC-1-177139168 Coupon	false		false
111-1762814-6157006		2022-10-29T21:35:11+00:00	2022-11-22T15:50:29+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorillagadgets Large Reading Bed Rest Pillow - Triangular Headboard Wedge Pillow, Backrest Positioning Support, Extra Filling with Washable Velvet Cover (King Size: 76 x 8 x 20 inches, Gray)	HBPL-KING-DARKGRAY	B0B47LY8J2	Shipped	1	USD	119.5	7.32					15.0			VPC-1-177139168 Coupon	VPC-1-177139168 Coupon	false		false
111-1851830-6025811		2022-10-28T00:09:51+00:00	2022-10-28T15:47:13+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Kids Desk and Chair Set, Height Adjustable Children's Study Table, for Baby Bedroom,Game Rooms,Party,Home Theatre,Night Light (Blue)	DSK-KIDS-BLU-FBM-A1	B08QWBJ65L	Shipped	1	USD	129.99	13.0										false		false
111-1895423-0118613		2022-10-04T03:12:25+00:00	2022-10-08T15:05:19+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorillagadgets Large Reading Bed Rest Pillow - Triangular Headboard Wedge Pillow, Backrest Positioning Support, Extra Filling with Washable Velvet Cover (Queen Size: 59 x 8 x 20 inches, Light Gray)	HBPL-QUEEN-LIGHTGRAY	B0B46VG24T	Shipped	1	USD	119.95	7.35					15.0			VPC-1-177139168 Coupon	VPC-1-177139168 Coupon	false		false
111-2037746-0267437	111-2037746-0267437	2022-10-02T01:30:51+00:00	2022-10-03T19:12:54+00:00	Shipped	Amazon	Amazon.com			SecondDay	Premium Glass Table Top Fire Pit 43 inch Brown Wicker Outdoor Patio Gas Fire Pit Table with 50,000 BTU Heat, Aluminum Frame, Glass Wind Guard and Blue	FP-HT-001-FBA	B09P2NFX42	Shipped	1	USD	419.99	32.92					21.0			VPC-1-175601385 Coupon	VPC-1-175601385 Coupon	false		false
111-2133814-1262665		2022-10-29T03:17:13+00:00	2022-10-31T14:52:25+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		SecondDay	Gorillagadgets Large Reading Bed Rest Pillow - Triangular Headboard Wedge Pillow, Backrest Positioning Support, Extra Filling with Washable Velvet Cover (King Size: 76 x 8 x 20 inches, Burgundy)	HBPL-KING-BURGUNY	B0B46VW5TZ	Shipped	1	USD	99.5	7.71										false		false
111-2236576-4159449		2022-10-26T11:36:25+00:00	2022-10-26T15:39:17+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorillagadgets Large Reading and Bed Rest Pillow - Triangular Headboard Wedge Pillow, Backrest Positioning Support, Extra Filling with Machine Washable Cover (Queen Size: 59 x 8 x 20 inches, Blue)	HBPL-QUEEN-NAVYBLUE	B0B46VV7VC	Shipped	1	USD	99.5	6.76					15.0			VPC-1-177139168 Coupon	VPC-1-177139168 Coupon	false		false
111-2257557-0119415		2022-10-10T21:41:14+00:00	2022-10-11T23:41:17+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorillagadgets Large Reading and Bed Rest Pillow - Triangular Headboard Wedge Pillow, Backrest Positioning Support, Extra Filling with Machine Washable Cover (King Size: 76 x 8 x 20 inches, Pink)	HBPL-KING-PINK	B0B7GLL9P1	Shipped	1	USD	130.45	11.58										false		false
111-2380629-9210640		2022-10-10T21:02:34+00:00	2022-10-28T13:09:33+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorillagadgets Large Reading Bed Rest Pillow - Triangular Headboard Wedge Pillow, Backrest Positioning Support, Extra Filling with Washable Velvet Cover (Queen Size: 59 x 8 x 20 inches, Dark Gray)	HBPL-QUEEN-DARKGRAY	B0B4781JWL	Shipped	1	USD	107.95	7.56										false		false
111-2437718-9429024		2022-10-12T21:55:51+00:00	2022-10-13T16:02:58+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Kids Desk and Chair Set, Height Adjustable Children's Study Table, for Baby Bedroom,Game Rooms,Party,Home Theatre,Night Light (Blue)	DSK-KIDS-BLU-FBM-A1	B08QWBJ65L	Shipped	1	USD	100.09	6.83					30.0			VPC-1-179395599 Coupon	VPC-1-179395599 Coupon	false		false
111-2460510-3008269		2022-10-17T18:32:05+00:00	2022-10-17T18:52:39+00:00	Cancelled	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Electric Patio Heater 1500W for Outdoor Heating with Adjustable Height, Quiet Operation, Free Standing and Waterproof Space Warmer	EPH-SIL-FBM-A1	B08R9NC84P		0													false		false
111-2498167-7124210		2022-10-27T03:18:26+00:00	2022-10-30T06:01:36+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorillagadgets Large Reading Bed Rest Pillow - Triangular Headboard Wedge Pillow, Backrest Positioning Support, Extra Filling with Washable Velvet Cover (Queen Size: 59 x 8 x 20 inches, Pink)	HBPL-QUEEN-PINK	B0B7GJ95W5	Shipped	1	USD	99.5	6.97										false		false
111-2709123-0125835		2022-10-17T10:32:12+00:00	2022-10-17T16:03:58+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Military Grade Case Compatible with Samsung Galaxy S10 Case 360 Metal Rotating Ring Kickstand Holder Built-in Magnetic Car Mount Armor Heavy Duty Shockproof Cover	CAS-1901-BLK-M	B07RN1DZ24	Shipped	1	USD	14.99	1.05										false		false
111-2715027-9603417		2022-10-21T18:13:51+00:00	2022-10-24T15:51:14+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorillagadgets Large Reading and Bed Rest Pillow - Triangular Headboard Wedge Pillow, Backrest Positioning Support, Extra Filling with Machine Washable Cover (Queen Size: 59 x 8 x 20 inches, Blue)	HBPL-QUEEN-NAVYBLUE	B0B46VV7VC	Shipped	1	USD	99.5	5.49					15.0			VPC-1-177139168 Coupon	VPC-1-177139168 Coupon	false		false
