amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-country	ship-promotion-id	promotion-ids	is-business-order	price-designation	is-replacement-order
111-0079743-3741051		2022-12-28T22:53:35+00:00	2023-01-13T17:59:48+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Large Reading Bed Rest Pillow - Triangular Headboard Wedge Pillow, Backrest Positioning Support, Extra Filling with Washable Velvet Cover	HPL-FULL-LGREY	B0BPQY4KK8	Shipped	1	USD	99.5	8.21										false		false
111-0112442-8519459		2022-12-25T01:47:05+00:00	2022-12-27T15:29:55+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Large Reading Bed Rest Pillow - Triangular Headboard Wedge Pillow, Backrest Positioning Support, Extra Filling with Washable Velvet Cover	HPL-FULL-DGREY	B0BPQXST51	Shipped	1	USD	99.5	4.77					20.0			VPC-1-187393256 Coupon	VPC-1-187393256 Coupon	false		false
111-0124385-2297001	111-0124385-2297001	2022-12-22T02:32:14+00:00	2022-12-23T07:12:24+00:00	Shipped	Amazon	Amazon.com			Expedited	Electric Patio Heater 1500W for Outdoor Heating with Adjustable Height, Quiet Operation, Free Standing and Waterproof Space Warmer (EPH-SIL)	EPH-SIL-FBA-A1	B08R9NC84P	Shipped	1	USD	269.99	18.9										false		false
111-0145879-7493846		2022-12-13T00:06:41+00:00	2022-12-13T19:01:12+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Military Grade Case Compatible with Samsung Galaxy S10 Case 360 Metal Rotating Ring Kickstand Holder Built-in Magnetic Car Mount Armor	CAS-1901-SIV-M	B07RN1BDKR	Shipped	1	USD	14.99	0.9										false		false
111-0194971-5563446		2022-12-03T03:59:03+00:00	2022-12-05T15:36:26+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	1500W Electric Infrared Patio Heater w/ Remote Control, Fast Heating w/ 3 Power Mode & Quiet Radiant, Tip-Over Protection, Waterproof, Infrared Space Heater for Living Room, Backyard, Garage (EDH-BLM)	EDH-BLM-FBM-A1	B09PZGVG4S	Shipped	1	USD	74.99	4.2					5.0			VPC-1-183469008 Coupon	VPC-1-183469008 Coupon	false		false
111-0196473-9901026		2022-12-19T11:30:43+00:00	2022-12-19T16:51:14+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		SecondDay	1500W Electric Infrared Patio Heater w/ Remote Control, Fast Heating w/ 3 Power Mode & Quiet Radiant, Tip-Over Protection, Waterproof, Infrared Space Heater for Living Room, Backyard, Garage (EDH-BLM)	EDH-BLM-FBM-A1	B09PZGVG4S	Shipped	1	USD	72.99	6.29					5.0			VPC-1-183469008 Coupon	VPC-1-183469008 Coupon	true	Business Price	false
111-0219894-3296221		2022-12-14T23:50:28+00:00	2022-12-15T16:53:11+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Instant Read Thermometer - Wall Mount or use with Tripod Stand. No Contact Digital Forehead with Fever Detection. Designed for Schools, Healthcare, and Businesses. Stored & Shipped by U.S Business!	THM-GEN3TRI-WHT-FBM-A3	B08HJVD2N8	Shipped	1	USD	139.99	8.4										false		false
111-0234748-3214642		2022-12-31T03:31:59+00:00	2023-02-22T07:38:55+00:00	Cancelled	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Color Reflective Mirror Phone Case (iPhone 13 Pro Max, Black)	CAS-I13PMMIR-BLK	B09QRQT3M9		0	USD	14.99	0.9										false		false
111-0303375-6157070		2022-12-07T01:34:27+00:00	2022-12-07T17:21:06+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Fast Heating! - Indoor & Outdoor 1500W Electric Infrared Patio Heater, Waterproof & Tip-Over Protection, Perfect for Garden, Balcony, Garage, Backyard, and More! (EPH-BLK)	EPH-BLK-FBM-E1	B0BJYFBVQM	Shipped	1	USD	189.99											false		false
111-0327914-3358650		2022-12-23T20:22:42+00:00	2022-12-23T21:31:19+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Gorilla Gadgets Large Reading Bed Rest Pillow - Triangular Headboard Wedge Pillow, Backrest Positioning Support, Extra Filling with Washable Velvet Cover	HPL-KING-GREEN	B0BPQXYP96	Shipped	1	USD	139.5											false		false
